Title,Artist,Year,Ranking2003,Ranking2012,Ranking2020,Ranking_Avg
Green River,Creedence Clearwater Revival,1969,95,,,95
Dreams To Remember: The Otis Redding Anthology,Otis Redding,1998,147,,,147
Greatest Hits,The Byrds,1967,178,,,178
"King Of The Delta Blues Singers, Vol.1",Robert Johnson,1961,27,,374,200
The Complete Hank Williams,Hank Williams,1998,225,,,225
Bryter Layter,Nick Drake,1970,245,,,245
Buena Vista Social Club,Buena Vista Social Club,1997,260,,,260
There Goes Rhymin' Simon,Paul Simon,1973,267,,,267
Five Leaves Left,Nick Drake,1969,283,,,283
Greatest Hits,Simon And Garfunkel,1972,293,,,293
Rock Steady,No Doubt,2001,316,,,316
The Eminem Show,Eminem,2002,317,,,317
Avalon,Roxy Music,1982,307,,336,321
Heart Like A Wheel,Linda Ronstadt,1974,164,,490,327
Jagged Little Pill,Alanis Morissette,1995,327,,,327
Cosmo's Factory,Creedence Clearwater Revival,1970,265,,413,339
Criminal Minded,Boogie Down Productions,1987,444,,239,341
Greetings From Asbury Park,Bruce Springsteen,1973,379,,,379
Sunflower,The Beach Boys,1970,380,,,380
Pyromania,Def Leppard,1983,384,,,384
Country Life,Roxy Music,1974,387,,,387
Mezzanine,Massive Attack,1998,412,,383,397
Greatest Hits,James Brown,1991,414,,,414
With The Beatles,The Beatles,1963,420,,,420
Greatest Hits,The Mamas & The Papas,1998,423,,,423
"King Of The Delta Blues Singers, Vol. 2",Robert Johnson,1970,424,,,424
Changesone,David Bowie,1976,425,,,425
The Battle Of Los Angeles,Rage Against The Machine,1999,426,,,426
To Bring You My Love,PJ Harvey,1995,435,,,435
Tragic Kingdom,No Doubt,1995,441,,,441
Music,Madonna,2000,452,,,452
Ritual De Lo Habitual,Jane's Addiction,1990,453,,,453
Elton John,Elton John,1970,468,,,468
Live In Europe,Otis Redding,1967,474,,,474
Branded Man,Merle Haggard,1967,484,,,484
Mellon Collie And The Infinite Sadness,Smashing Pumpkins,1995,487,,,487
Yo! Bum Rush The Show,Public Enemy,1987,497,,,497
