Title,Artist,Year,Ranking2003,Ranking2012,Ranking2020,Ranking_Avg
Led Zeppelin,Led Zeppelin,1969,29,79,123,77
Led Zeppelin II,Led Zeppelin,1969,75,79,123,92
Purple Rain,Prince,1984,72,163,130,121
Sign O' The Times,Prince,1987,93,163,130,128
The Velvet Underground & Nico,The Velvet Underground & Nico,1967,13,316,143,157
The Band,The Band,1969,45,468,57,190
1999,Prince,1982,163,206,326,231
Dirty Mind,Prince,1980,204,206,326,245
The Velvet Underground,The Velvet Underground,1969,314,316,143,257
The Paul Butterfield Blues Band,The Paul Butterfield Blues Band,1965,476,468,57,333
Boy,U2,1980,417,438,,427
Boys Don't Cry,The Cure,1980,442,438,,440
